Duration (sec)	Status code	Status category	Status color	Pgm code	Pgm step	Pgm para	Pgm cycle	mV	mA	Temperature	Charge count	Discharge count	Thermal Chamber temperature	Thermal Chamber status	Capacity	Analog input 1	Analog input 2	Analog input 3	Analog input 4	Analog input warning 1	Analog input warning 2	Analog input warning 3	Analog input warning 4	Digital input 1	Digital input 2	Digital input 3	Digital input 4	Digital output 1	Digital output 2	Digital output 3	Digital output 4	Analog output 1	Analog output 2	SMB-mV	SMB-mA	SMB-K	SMB-alarm	
1	8	7	3	0	0	5	0	11199	0	22	0	0	0	0	255	65535	65535	65535	65535	0	0	0	0	0	0	0	0	0	0	0	0	65535	65535	0	0	0	0	
4	8	7	3	0	0	5	0	11199	0	22	0	0	0	0	255	65535	65535	65535	65535	0	0	0	0	0	0	0	0	0	0	0	0	65535	65535	0	0	0	0	
5	8	3	3	0	1	2	2	11766	657	22	0	0	0	0	255	65535	65535	65535	65535	0	0	0	0	0	0	0	0	0	0	0	0	65535	65535	65535	-1	65535	65535	
6	8	3	3	0	1	2	2	12610	2622	22	1	0	0	0	255	65535	65535	65535	65535	0	0	0	0	0	0	0	0	0	0	0	0	65535	65535	65535	-1	65535	65535	
7	8	3	3	0	1	2	2	12610	2657	22	1	0	0	0	255	65535	65535	65535	65535	0	0	0	0	0	0	0	0	0	0	0	0	65535	65535	65535	-1	65535	65535	
8	8	3	3	0	1	2	2	12610	2682	22	1	0	0	0	255	65535	65535	65535	65535	0	0	0	0	0	0	0	0	0	0	0	0	65535	65535	65535	-1	65535	65535	
9	8	3	3	0	1	2	2	12610	2686	22	1	0	0	0	255	65535	65535	65535	65535	0	0	0	0	0	0	0	0	0	0	0	0	65535	65535	65535	-1	65535	65535	
10	8	3	3	0	1	2	2	12610	2682	22	1	0	0	0	255	65535	65535	65535	65535	0	0	0	0	0	0	0	0	0	0	0	0	65535	65535	65535	-1	65535	65535	
11	8	3	3	0	1	2	2	12610	2679	22	1	0	0	0	255	65535	65535	65535	65535	0	0	0	0	0	0	0	0	0	0	0	0	65535	65535	65535	-1	65535	65535	
12	8	3	3	0	1	2	2	12610	2675	22	1	0	0	0	255	65535	65535	65535	65535	0	0	0	0	0	0	0	0	0	0	0	0	65535	65535	65535	-1	65535	65535	
13	8	3	3	0	1	2	2	12610	2672	22	1	0	0	0	255	65535	65535	65535	65535	0	0	0	0	0	0	0	0	0	0	0	0	65535	65535	65535	-1	65535	65535	
14	8	3	3	0	1	2	2	12609	2668	22	1	0	0	0	255	65535	65535	65535	65535	0	0	0	0	0	0	0	0	0	0	0	0	65535	65535	65535	-1	65535	65535	
15	8	3	3	0	1	2	2	12610	2665	22	1	0	0	0	255	65535	65535	65535	65535	0	0	0	0	0	0	0	0	0	0	0	0	65535	65535	65535	-1	65535	65535	
16	8	3	3	0	1	2	2	12610	2661	22	1	0	0	0	255	65535	65535	65535	65535	0	0	0	0	0	0	0	0	0	0	0	0	65535	65535	65535	-1	65535	65535	
17	8	3	3	0	1	2	2	12610	2659	22	1	0	0	0	255	65535	65535	65535	65535	0	0	0	0	0	0	0	0	0	0	0	0	65535	65535	65535	-1	65535	65535	
18	8	3	3	0	1	2	2	12610	2655	22	1	0	0	0	255	65535	65535	65535	65535	0	0	0	0	0	0	0	0	0	0	0	0	65535	65535	65535	-1	65535	65535	
